Gene,Protein,Location,Methodology
AT3G61590,COBL8,,
AT1G70690,ATLIG1,,
AT5G17620,LIG1,,
AT5G20820,ATCHX6B,,
AT2G36410,CHX6B,,
AT3G50660,CRK31,,
AT2G26310,DTF2,,
AT1G21060,SHH2,,
AT1G20220,ATGPAT3,,
AT3G44540,GPAT3,,
AT4G20930,RTM1,,
AT1G36990,EMB1789,,
ATCG00010,TBL40,,
AT1G72730,SAUR22,,
AT1G47210,AtGulLO3,,
AT1G21065,GulLO3,,
AT3G48460,ABCG38,,
AT1G76150,ATPDR10,,
AT3G28007,PDR10,,
AT3G53610,NHL22,,
AT2G26960,HCC2,,
AT5G16590,TUP5,,
AT5G23710,WIN1,,
AT4G39470,ATSUMO1,,
AT3G04800,SUM1,,
AT4G30430,SUMO 1,,
ATMG00680,SUMO1,,
AT1G21680,UGT72E2,,
AT5G15020,IPMS1,,
AT2G31190,MAML-4,,
AT3G03910,ATFUT6,,
AT5G36940,FUT6,,
AT2G17730,AtMYB36,,
AT3G44320,MYB36,,
AT3G57270,MIR156D,,
AT3G44890,UGT76B1,,
AT1G80680,ATTIP49A,,
AT3G50700,RIN1,,
AT5G26980,PSY,,
AT1G18580,PDF1.3,,
AT3G55610,CDKG1,,
AT3G60530,scpl29,,
AT3G12090,CPuORF6,,
AT4G36870,WAKL1,,
AT1G32130,IAA16,,
AT1G10030,BLH5,,
AT5G66320,CBSX5,,
AT5G66450,ATPAP11,,
AT2G40030,PAP11,,
AT4G18020,GGPS4,,
AT1G22810,CYCA1,,
AT5G40670,CYCA1;2,,
AT3G48790,DYP,,
AT3G25882,TAM,,
ATMG00530,NF-YB5,,
AT1G08200,HUB2,,
AT3G18930,ATMYC2,,
AT3G11400,JAI1,,
AT1G21350,JIN1,,
AT1G02810,MYC2,,
AT5G50012,RD22BP1,,
AT3G62420,ZBF1,,
AT1G60350,AtPCR1,,
AT1G19180,PCR1,,
AT4G01660,ATMBD6,,
AT2G16485,MBD6,,
AT4G00820,ATHB40,,
AT4G20910,HB-5,,
AT2G41730,HB40,,
AT5G24580,ATKT3,,
AT4G10560,KUP4,,
AT3G18250,TRH1,,
AT5G46750,CRK23,,
ATCG00610,VPS2.3,,
AT3G62020,PAB3,,
AT5G57590,TRNS.5,,
AT1G65860,emb2204,,
AT1G73340,DAR5,,
AT2G43510,AtENODL2,,
AT4G16830,ENODL2,,
AT5G42040,AtSCAMP5,,
AT1G07770,SCAMP5,,
AT3G03340,ATSPO11-1,,
AT1G05490,Hop2,,
AT2G35500,SCRL25,,
AT3G25400,AtCLE5,,
AT4G11960,CLE5,,
AT1G13600,ATGPAT2,,
AT5G19900,GPAT2,,
AT3G14050,SCRL24,,
AT4G01480,PERK14,,
AT5G27060,ATVTI11,,
AT1G05940,ATVTI1A,,
AT2G15590,SGR4,,
AT1G15460,VTI11,,
AT3G58790,VTI1A,,
AT2G39435,ZIG,,
AT4G01190,ZIG1,,
AT3G23460,CHL-CPN10,,
AT4G00750,CPN10,,
AT4G09660,ROC2,,
AT4G36290,AtRABA1e,,
AT1G59590,RABA1e,,
AT5G25980,ATMES10,,
AT2G19040,MES10,,
AT5G25450,EMB2811,,
AT1G09130,RFC2,,
AT2G19045,FRS10,,
AT1G47960,ATEXO70A3,,
AT5G14990,EXO70A3,,
AT4G35800,RUG1,,
AT3G45050,UMAMIT13,,
AT4G08390,G6PD4,,
AT5G27630,ARFB1C,,
AT1G48920,ATARFB1C,,
AT3G63190,BSK10,,
AT1G56340,ATTPS3,,
AT1G62070,TPS3,,
AT5G67320,TPS3,,
AT5G63660,ATB5-A,,
AT2G44520,ATCB5-E,,
AT2G44525,B5 #2,,
AT3G46970,CB5-E,,
AT1G52827,ATSED5,,
AT2G25540,ATSYP31,,
AT3G46790,SED5,,
AT4G29690,SYP31,,
AT4G29340,TBL9,,
AT5G25180,ATCRR1,,
AT3G19400,CCR1,,
AT3G10000,CDI3,,
AT5G56350,OZS1,,
AT3G08700,RCD3,,
AT4G33180,SLAC1,,
AT3G51090,DDB1A,,
AT1G03330,GAMMA-TIP2,,
AT1G54610,SITIP,,
AT5G39260,TIP1;2,,
AT4G11210,TIP2,,
AT1G74310,ATPE,,
AT2G35990,KNAT6,,
AT3G07970,KNAT6L,,
AT5G43310,KNAT6S,,
AT3G18060,NAI1,,
AT4G22513,CCB4,,
AT3G22840,ATNHX5,,
AT4G27030,NHX5,,
AT2G03710,PIA1,,
AT3G22845,TOM20-3,,
AT1G12950,XXT3,,
AT5G41570,FRS2,,
AT3G54050,SLK1,,
AT1G80720,LBD8,,
AT1G49740,G-H2AX,,
AT4G24340,GAMMA-H2AX,,
AT3G26170,H2AXB,,
AT3G15050,HTA3,,
AT2G01970,VIP4,,
ATMG00990,ATFER1,,
AT2G47380,FER1,,
AT4G25090,OXA1L,,
AT1G11600,IQD13,,
AT3G05530,Sep-02,,
AT1G63030,ATPEPC1,,
AT3G05020,ATPPC1,,
AT1G09795,PEPC1,,
AT3G60740,PPC1,,
AT1G09790,ACA8,,
AT3G24440,AT-ACA8,,
AT3G47770,ATHMA8,,
AT2G40970,HMA8,,
AT4G21960,PAA2,,
AT1G17720,PDE343,,
AT5G35550,PTAC2,,
AT1G48430,MIR156A,,
AT3G18320,ORTH3,,
AT1G59640,VIM5,,
AT3G10130,FIP2,,
AT1G71310,CYP51,,
AT1G61732,CYP51A2,,
AT2G26360,CYP51G1,,
AT3G49910,EMB1738,,
AT3G17668,ATPAL1,,
AT5G02880,PAL1,,
AT5G06500,ORF143,,
AT1G29900,Rap2.6L,,
AT2G27370,RGXT3,,
AT3G30350,ATSEC1B,,
AT1G09860,SEC1B,,
AT3G13220,RRN23S.1,,
AT1G34360,ICDH,,
AT3G18490,anac028,,
AT5G65090,NAC028,,
AT2G46380,ATPRP3,,
AT1G06430,PRP3,,
AT2G33120,ATUPS2,,
AT3G04950,UPS2,,
AT4G37450,NIH,,
ATMG00330,ATRBL12,,
AT1G80300,ATRBL13,,
AT1G26480,RBL12,,
AT5G50370,RBL13,,
AT5G48570,IQD14,,
AT4G29520,PG2,,
AT4G26610,SMAP1,,
AT5G48575,ATMTM1,,
AT4G13494,MTM1,,
AT2G02990,J20,,
AT1G73870,ATE2,,
AT3G58810,ATE3,,
AT5G50375,RPT3,,
AT3G56100,ACA3,,
AT1G65880,ATECA1,,
AT5G65230,ECA1,,
AT1G54870,ERL2,,
AT3G29020,CBL,,
AT5G20910,SEH1H,,
AT5G51280,scpl46,,
AT4G03205,ODB2,,
AT1G10550,RAD52-2,,
AT4G02070,RAD52-2B,,
AT3G19600,WYR,,
AT1G68020,VPS25,,
AT2G26770,CYP77A9,,
AT3G10790,NUZ,,
AT5G50570,TRZ1,,
AT3G20720,KIN1,,
ATMG00050,SUF4,,
AT5G08210,RBCS1B,,
AT4G37980,AtTLP11,,
AT1G78120,TLP11,,
AT1G07230,ATGSL07,,
AT5G11320,atgsl7,,
AT3G13110,CalS7,,
AT1G23210,gsl07,,
AT3G13445,GSL07,,
AT1G78600,GSL7,,
AT5G59560,ESM1,,
AT3G19810,PORA,,
AT4G16515,GLP4,,
AT5G06000,TAF15b,,
AT1G74690,AtTMN7,,
AT3G12240,TMN7,,
AT1G10730,ATEXO70H6,,
AT3G56360,EXO70H6,,
AT5G08100,AtLARP6b,,
AT3G06700,LARP6b,,
AT5G40640,TRNL.1,,
AT3G21370,ATHVA22C,,
AT3G09820,HVA22C,,
AT4G35580,ATCSP2,,
AT3G10860,CSDP2,,
AT1G71860,CSP2,,
AT3G11570,GRP2,,
AT5G02620,ADT3,,
AT2G34470,PD1,,
AT5G52820,ACA5,,
AT1G43800,ATACA5,,
AT4G29830,ATPLC,,
AT1G29010,ATPLC1,,
AT1G75340,PLC1,,
AT2G43460,PLC1,,
AT1G70190,PES2,,
AT3G01990,ATSYTE,,
AT5G18270,NTMC2T2.1,,
AT4G38600,NTMC2TYPE2.1,,
AT5G52560,SYT5,,
AT1G57990,SYTE,,
AT4G34180,ATHB-7,,
AT5G07360,ATHB7,,
AT2G32610,HB-7,,
AT2G38750,ATSWI3B,,
AT5G17330,CHB2,,
AT3G28960,SWI3B,,
AT5G19730,ATNAS1,,
AT3G14630,NAS1,,
AT5G20920,AGL9,,
AT4G39800,Sep-03,,
AT2G30105,HIPL2,,
AT1G21240,ATCDT1A,,
AT3G63250,CDT1,,
AT3G25230,CDT1A,,
AT5G16900,COBL4,,
AT5G27350,IRX6,,
AT1G19510,SKS6,,
AT4G31110,SKS6,,
AT5G13420,HLH2,,
AT2G28630,PAR2,,
AT1G62850,AST68,,
AT4G34980,SULTR2;1,,
AT3G44150,BSK12,,
AT3G23727,SSP,,
AT1G04040,ATXDH2,,
AT5G13930,XDH2,,
AT4G38460,hda10,,
AT2G42800,ATCHX9,,
AT4G10020,CHX9,,
AT4G30600,RCF1,,
AT5G47580,AtFBA2,,
AT3G48320,FBA2,,
AT5G56740,ANP3,,
AT1G24620,AtANP3,,
AT1G05790,MAPKKK12,,
AT2G36145,NP3,,
AT4G15210,MIR162A,,
AT4G39730,BP80-2;1,,
AT3G52480,MTV4,,
ATCG00580,VSR2;1,,
AT4G21980,VSR4,,
AT2G15900,BZIP17,,
AT1G70730,ACT3,,
AT2G04450,EMB2820,,
AT1G53470,TAD3,,
AT2G44950,CRR4,,
AT5G58960,SIS,,
ATCG00420,CLT3,,
AT1G78500,VHA-A3,,
ATMG01010,MSI3,,
AT4G20760,NFC3,,
AT4G10970,EXO,,
AT4G14290,ORF107D,,
AT3G21230,TCP9,,
AT4G10790,AtCRT3,,
AT3G02280,CRT3,,
AT5G36200,EBS2,,
ATCG00100,PSL1,,
AT1G77020,PDLP7,,
AT1G04950,AtPIMT2,,
AT1G80010,PIMT2,,
AT1G04220,ARP2,,
AT5G57290,RPL3B,,
AT5G23290,ATPTR3,,
AT4G11510,PTR3,,
AT5G57735,MEI1,,
AT5G42630,ATGSTF5,,
AT1G05575,GSTF5,,
AT4G01830,PDE226,,
AT1G01050,PDS,,
AT1G05570,PDS3,,
AT5G09410,bbx23,,
AT5G47075,SPT16,,
AT4G22720,ATSFH12,,
AT1G15810,SFH12,,
AT5G18170,SNL1,,
AT2G18720,UMAMIT14,,
AT1G69740,CTF18,,
AT5G03260,NAMT1,,
AT1G55640,TET5,,
AT5G62230,RHC1A,,
AT2G36620,TOM2A,,
AT2G41380,ZIFL2,,
AT3G55280,CLPP3,,
AT3G02130,NCLPP3,,
AT1G18170,AtLETM2,,
AT5G10020,LETM2,,
AT4G33565,ATTPS21,,
AT5G64330,TPS21,,
AT2G24190,PLL1,,
AT5G17880,SCRL5,,
AT5G43610,ARF11,,
AT1G48600,ARF19,,
AT5G62300,IAA22,,
AT1G48605,SCRL8,,
AT5G11730,AtGolS7,,
AT2G47020,GolS7,,
AT1G03430,ATGA20OX4,,
AT2G23410,GA20OX4,,
AT1G78995,U2.5,,
AT2G18050,AtCDC20.3,,
AT5G24440,CDC20.3,,
AT2G18500,SCRL7,,
AT5G24110,UCP3,,
AT5G26940,ATWHY1,,
AT1G26170,PTAC1,,
AT1G18390,WHY1,,
AT1G44920,DSPTP1,,
AT3G12930,BLOS2,,
AT3G56170,RPS11,,
AT5G60410,AtMAD1,,
AT1G55130,MAD1,,
AT4G14920,ATMLO9,,
AT1G22660,MLO9,,
AT4G23230,JAL35,,
AT2G40650,JR1,,
AT5G25860,PAN,,
AT2G47600,TGA8,,
AT2G21740,HSI2,,
AT5G10280,VAL1,,
AT3G07700,LCR7,,
AT1G68560,RPL10C,,
AT3G20780,SAG24,,
AT2G19900,ATSYP72,,
AT2G14365,SYP72,,
AT1G28190,ASML2,,
AT5G17770,ATL31,,
AT1G32170,CNI1,,
AT2G23670,ATCSLB05,,
AT5G34780,ATCSLB5,,
AT3G54420,CSLB05,,
AT5G63110,ATSYP122,,
AT5G50800,SYP122,,
AT4G16295,U4.2,,
AT4G16566,ATEXO70H2,,
AT1G80530,EXO70H2,,
ATMG00830,ATPAP29,,
AT4G16563,PAP29,,
AT5G46410,PAP29,,
AT3G58730,TPR5,,
AT1G02500,OVA9,,
AT1G64900,ATVAMP713,,
AT4G29750,VAMP713,,
AT2G40380,VAMP713,,
AT2G37570,AtHMAC6,,
AT3G56950,HMA6,,
AT4G18790,PAA1,,
AT3G50500,FLA5,,
AT3G28360,ATPAP25,,
AT3G59960,PAP25,,
AT4G08700,AGL22,,
AT2G40475,FAQ1,,
AT3G07568,SVP,,
AT4G23050,RKP,,
AT2G40470,AtFLA12,,
AT2G03090,FLA12,,
AT1G30040,ADL3,,
AT3G07560,CF1,,
AT1G13140,DL3,,
AT1G17110,DRP2B,,
AT5G41280,rps15ab,,
AT1G70895,ATGP4,,
AT5G61640,AtUGT85A5,,
AT1G06080,UGT85A5,,
AT4G02660,EBF2,,
AT1G77850,OBE1,,
AT5G66410,L1L,,
AT3G51632,NF-YB6,,
AT3G20110,ATOFP6,,
AT3G04030,OFP6,,
AT2G34900,CLE20,,
AT1G26560,PIF5,,
AT1G21310,PIL6,,
AT5G52520,ATXR4,,
AT1G59780,SDG38,,
AT3G23700,AtHsp90.2,,
AT2G02850,ERD8,,
AT5G41060,HSP81-2,,
AT3G56560,HSP81.2,,
AT4G05130,HSP90.2,,
AT2G25480,SnRK1.3,,
AT5G40100,VPS9B,,
AT4G03390,ATPSK3,,
AT4G33640,PSK1,,
AT2G19670,PSK3,,
AT1G76100,SDN3,,
AT5G63120,BBX28,,
AT3G15460,eIF6B,,
AT1G61800,ATUBC8,,
AT5G01210,UBC8,,
AT5G01747,AtYSL4,,
AT3G61730,YSL4,,
AT1G24764,CCOAMT,,
AT5G64270,ACT1,,
AT5G61230,ATS1,,
AT1G16460,PIP1;4,,
AT1G16390,PIP1E,,
AT5G27910,TMP-C,,
AT3G46580,TPP2,,
AT5G64552,SSL1,,
AT2G19770,ATFER4,,
AT3G17820,FER4,,
AT5G16290,AtG3Pp2,,
AT1G53270,G3Pp2,,
AT2G25735,RHS15,,
AT2G25737,ATRANGAP2,,
AT2G25730,ATSCAR1,,
AT3G60640,SCAR1,,
AT3G60350,WAVE1,,
AT3G45850,LON3,,
AT5G13700,ATSYP131,,
AT4G17160,SYP131,,
AT4G21570,CUM2,,
AT2G07340,EIF4G,,
AT2G18680,ATGPX4,,
AT1G30870,GPX4,,
AT5G45800,ATUPF1,,
AT1G30700,LBA1,,
AT1G51160,UPF1,,
AT5G24810,ATCLC-E,,
AT2G03450,CLC-E,,
AT3G59420,CLCE,,
AT5G40450,emb1129,,
AT1G25410,RPOC1,,
AT4G13660,PKP-ALPHA,,
AT5G24540,PKP1,,
AT5G47890,ATGSTU27,,
AT1G50560,GSTU27,,
AT5G21160,AtIPCS3,,
AT2G42640,delta-ADR,,
AT3G16650,PAT4,,
AT1G07930,AtKRP7,,
AT4G27800,ICK5,,
AT3G21640,ICN6,,
AT1G31470,KRP7,,
AT5G44316,CYP71B25,,
AT5G53760,PPK1,,
AT4G33230,AtSEOR1,,
AT1G64570,SEOb,,
AT1G79470,SEOR1,,
AT1G27210,MIR822A,,
AT1G65640,CPuORF26,,
AT1G27960,AT-HSFC1,,
AT1G26690,HSFC1,,
AT3G06930,CKH1,,
AT5G28640,EER4,,
AT3G47180,TAF12B,,
AT4G21750,ATOFP13,,
AT1G70200,OFP13,,
AT1G71100,ATCAD3,,
AT1G10940,CAD3,,
AT4G02910,SDG31,,
AT4G02440,SUVR4,,
AT3G10300,HSL1,,
AT1G32270,SCPL45,,
AT3G10650,ORF77.2,,
AT1G71450,APG10,,
AT1G75750,HISN3,,
AT3G13300,CLS,,
AT3G17350,ATTRB3,,
AT3G13870,TBP2,,
AT5G58005,TRB3,,
AT5G28740,ATPUB45,,
AT3G52810,PUB45,,
AT1G62990,ANAC004,,
AT5G58550,NAC004,,
AT3G21460,DMS2,,
AT3G21390,DRD2,,
AT1G26220,NRPD2,,
AT2G07732,NRPD2A,,
AT2G07734,NRPE2,,
AT5G28020,OCP1,,
AT5G61900,LCR56,,
AT3G18680,E-COAH-2,,
AT5G38660,ECHIA,,
AT3G12650,ATWRKY71,,
AT1G52580,WRKY71,,
AT5G04870,ATTRB1,,
AT3G59030,TRB1,,
AT5G67520,RTV1,,
AT5G16020,emb2746,,
AT5G16023,CDI,,
AT5G16750,ATWNK10,,
AT3G14150,WNK10,,
AT5G62220,emb2726,,
AT3G57550,HSL2,,
AT4G14455,NDB1,,
AT2G30370,ARR18,,
AT3G62760,RR18,,
AT2G36430,ASK11,,
AT5G18610,SK11,,
AT5G52290,ATNOA1,,
AT3G17170,ATNOS1,,
AT5G11250,NOA1,,
AT5G03470,NOS1,,
AT3G19320,RIF1,,
AT1G62120,AtCDC48B,,
AT2G39360,ckl3,,
AT3G55450,ABIL1,,
AT1G47760,DIC2,,
AT2G16920,RPL5,,
AT5G39730,AKT5,,
AT2G33480,KT5,,
AT3G04070,THY-1,,
AT5G45370,AtDOF4.4,,
AT2G29730,DOF4.4,,
AT1G62570,PRK4,,
AT5G59970,AtPP2-B7,,
AT2G14620,PP2-B7,,
AT4G24130,SETH1,,
AT3G15820,MIR420,,
AT2G26900,RPH1,,
AT1G21110,AGO9,,
AT5G50380,LCR22,,
AT2G18990,LCR12,,
ATCG01080,MIOX4,,
AT2G18330,ATOPT5,,
AT5G36925,OPT5,,
AT5G49490,ATCSLD6,,
AT1G26360,CSLD6,,
AT5G52890,CSLD6,,
ATMG01120,AMT1;2,,
AT3G62220,ATAMT1;2,,
AT3G16080,ATXR2,,
AT5G22460,SDG36,,
AT5G04290,ATRING1A,,
AT3G21060,RING1A,,
AT4G15733,AtG3Pp3,,
AT1G22870,G3Pp3,,
AT2G24050,AtSFR6,,
AT1G07390,IEN1,,
AT4G35390,MED16,,
AT1G33030,SFR6,,
ATCG01100,LHW,,
AT5G21120,AtGALT2,,
AT5G08730,GALT2,,
AT5G66300,FQR1,,
AT1G08220,AtMYB42,,
AT2G30590,MYB42,,
AT1G21370,MOS1,,
AT2G45140,ATPP2-A1,,
AT5G19690,ATPP2A-1,,
AT4G01130,PP2-A1,,
ATMG00550,ATHO1,,
AT5G19100,GUN2,,
ATCG00880,HO1,,
AT1G15660,HY1,,
AT5G49270,HY6,,
AT1G14530,TED4,,
ATCG00670,PLA-I{gamma}1,,
AT1G73360,NF-YC7,,
AT1G14280,PYRB,,
AT1G32930,AtHSD6,,
AT3G20083,HSD6,,
AT2G37740,BE1,,
AT1G05800,EMB2729,,
AT5G42060,ABCI2,,
AT3G19240,CCB206,,
AT3G59410,CLE44,,
AT1G68680,CYP82C2,,
AT3G01370,LRX1,,
AT5G54800,ATISA1,,
AT2G35520,ISA1,,
AT4G11980,PIP2;3,,
AT1G14110,PIP2C,,
AT1G13620,RD28,,
AT3G21250,ATSEC22,,
AT2G20190,SEC22,,
AT1G05960,COPT5,,
AT1G14440,ATMYB121,,
AT2G34130,MYB121,,
AT3G49750,LCR54,,
AT1G15480,APD1,,
AT1G19700,DME,,
AT2G28170,ATOFP2,,
AT3G43720,OFP2,,
AT5G11030,14-3-3PHI,,
AT5G02380,GF14 PHI,,
AT3G46000,GRF4,,
AT1G14750,CSN6B,,
AT5G14310,ATMSL9,,
AT5G10610,MSL9,,
AT5G25475,SLK2,,
AT4G01010,emb2411,,
AT3G45070,UBL5,,
AT4G33430,SRF1,,
AT2G19060,ATPTPKIS1,,
AT4G11180,ATSEX4,,
AT4G15400,DSP4,,
AT2G30900,SEX4,,
AT1G20575,MIR166,,
AT1G01420,MIR166E,,
AT5G27650,IDH-V,,
AT5G67300,LCR77,,
AT4G27230,PDF1.2,,
AT1G79430,PDF1.2A,,
AT4G31490,ATB2,,
AT2G23080,AtbZIP11,,
AT2G15710,BZIP11,,
AT4G20240,GBF6,,
AT2G01190,PBS1,,
AT2G18193,ATWRKY13,,
AT1G25470,WRKY13,,
AT1G25472,AR411,,
AT2G40180,ATWRKY14,,
AT4G17800,WRKY14,,
AT2G47015,Cand8,,
AT1G74500,LSM3A,,
AT5G60620,AGO10,,
AT1G35340,PNH,,
AT4G03090,ZLL,,
AT3G60500,ATMYB75,,
AT1G13080,MYB75,,
AT5G40580,PAP1,,
AT4G19880,SIAA1,,
AT1G33960,AtPUB22,,
AT3G08720,PUB22,,
AT5G51810,BRL3,,
AT3G11020,AOAT2,,
AT5G51540,GGT2,,
AT2G33670,sks11,,
AT5G51545,ATSYP81,,
AT3G22860,ATUFE1,,
AT5G20020,SYP81,,
AT4G27585,UFE1,,
AT5G43330,PIS2,,
AT5G58360,ATGDU2,,
AT1G69550,GDU2,,
AT5G67160,XTH23,,
AT3G26150,XTR6,,
AT5G43280,IDH-II,,
AT1G12970,IDH2,,
AT3G59510,CPuORF53,,
AT4G00770,ATXTH21,,
AT3G59280,XTH21,,
AT1G49720,ATLFNR2,,
AT3G23130,FNR2,,
AT1G04310,ATZFP11,,
AT5G55510,ZFP11,,
AT3G26320,ABCC5,,
AT3G15850,ATABCC5,,
AT3G24130,ATMRP5,,
AT1G17250,MRP5,,
AT1G17700,MRP5,,
AT5G35570,RER1,,
AT4G08510,MBR2,,
AT3G22500,BG5,,
AT5G51600,ABC1,,
AT3G47750,ABCI8,,
AT2G03590,ATABC1,,
AT2G33240,ATNAP1,,
AT1G48410,LAF6,,
AT2G26340,CPK31,,
AT3G15170,AtMC4,,
AT1G77990,AtMCP2d,,
AT5G24300,MC4,,
AT1G80490,MCP2d,,
AT2G36190,LBD7,,
AT2G27350,ATGSTU22,,
AT1G77440,GSTU22,,
AT1G55670,MEF10,,
AT1G29965,ASUS1,,
AT4G26180,atsus1,,
AT1G55850,SUS1,,
AT1G29960,OXP1,,
AT2G32835,ATCOQ3,,
AT5G21040,COQ3,,
AT2G24610,COQ3,,
AT1G54090,EMB3002,,
AT4G28320,RAY1,,
AT5G20680,ATPA,,
AT1G28380,ATRBL10,,
AT2G33100,ATRBL7,,
AT2G19080,AtRBL8,,
ATMG00310,RBL10,,
AT2G36990,RBL8,,
AT1G12280,HYH,,
AT3G04930,AGP25,,
AT1G26970,ATAGP25,,
AT1G76370,PANB2,,
AT1G26975,CRCK2,,
AT4G32910,RHB1A,,
AT3G26610,RRN18,,
AT5G39620,TRNR.1,,
AT1G23180,ATMYB66,,
AT2G25171,MYB66,,
AT5G15833,WER,,
AT1G31860,WER1,,
AT1G35520,AtTLP6,,
AT1G63010,TLP6,,
AT3G50240,APC8,,
AT1G64040,CDC23,,
AT5G65210,TBL34,,
AT3G06540,ACR12,,
AT4G04510,MIR390,,
AT4G28490,MIR390A,,
AT4G21320,AP4.3A,,
AT5G26680,CBL5,,
AT1G34120,TRNK.2,,
AT3G56160,NAP1;3,,
AT4G02050,NFA03,,
AT5G54390,NFA3,,
AT5G54640,ATCHX5,,
AT3G20250,CHX5,,
AT1G16070,ATKU80,,
AT1G12750,KU80,,
AT1G76420,MED32,,
AT2G16120,ATCCR1,,
AT3G13460,CCR1,,
AT2G34730,IRX4,,
AT1G23230,ATSSL4,,
AT1G75100,SSL4,,
AT5G52580,DRT101,,
AT5G03110,SHBY,,
AT3G19870,PRL1,,
AT3G15140,CEF,,
AT1G09840,GDC1,,
AT1G11480,LTD,,
AT5G04460,YCF6,,
AT3G27950,ATSKP2;2,,
AT3G06760,SKP2B,,
AT4G13564,MIR159,,
AT5G59010,MIR159B,,
AT3G10840,ABCB20,,
AT1G71840,PGP20,,
AT3G10845,TCP1,,
AT5G02600,SDE5,,
ATMG00780,sks17,,
AT2G45620,AtEIL3,,
AT2G30290,ATSLIM,,
AT3G62230,EIL3,,
AT2G30740,SLIM1,,
AT2G40060,UMAMIT37,,
AT1G60160,GSA2,,
AT1G29030,ATCKX1,,
AT2G43480,CKX1,,
AT2G34450,HYD1,,
AT1G78440,MAD4,,
AT3G13790,ATCKA1,,
AT4G29810,CKA1,,
AT4G34160,AGP3,,
AT2G32670,LIL3:2,,
AT5G13060,TRNE,,
AT4G38660,AtRTE1,,
AT4G33390,RTE1,,
AT4G39820,ATGLB3,,
AT3G22670,GLB3,,
AT2G38730,GAE2,,
AT5G08380,AtPP2-B12,,
AT1G51910,PP2-B12,,
AT1G45976,MEB2,,
AT2G30120,UGT73C6,,
AT5G19200,ATCNFU2,,
AT5G27330,NFU2,,
AT5G19750,ATVTI12,,
AT2G29690,VTI12,,
AT3G52710,VTI1B,,
AT3G47620,SAUR72,,
AT5G43935,MOS14,,
AT5G62070,ATSNAK1,,
AT4G13493,GRIK2,,
AT2G09990,CURT1C,,
AT3G52640,ATRABG3B,,
AT1G19570,RAB7,,
AT4G05200,RAB75,,
AT2G22850,RABG3B,,
AT2G22900,TBL28,,
AT5G42980,scpl2,,
AT2G28610,BP,,
AT1G62830,BP1,,
AT3G48520,KNAT1,,
AT2G17520,LPA19,,
AT3G21070,Psb27-H1,,
AT2G28520,AHP2,,
AT2G42530,ATNSI,,
AT4G14723,NSI,,
AT1G20980,BSK6,,
AT4G10000,AtNG1,,
AT4G34700,NG1,,
AT2G07698,ATCRSH,,
AT2G07696,CRSH,,
AT1G79280,ATMAP65-6,,
AT1G73990,MAP65-6,,
AT3G12220,NAD2,,
AT1G73620,NAD2.1,,
AT2G07690,NAD2A,,
AT4G15890,TRNW,,
AT4G15236,ORF110A,,
AT4G39756,FIB4,,
AT4G15230,ACR4,,
AT2G29960,PFK7,,
AT4G15233,ETR2,,
AT3G51910,SPP,,
AT1G60780,ATGSTF1,,
AT5G56890,AtPP2-B15,,
AT5G56720,PP2-B15,,
AT3G10140,PRK1,,
AT5G09650,DVL12,,
AT1G56130,RTFL22,,
AT1G29410,ATEGY2,,
AT3G50310,EGY2,,
AT5G12110,TIC56,,
AT5G41270,LAC8,,
AT5G53550,ARAF,,
AT5G58940,ARAF1,,
AT4G31390,ASD1,,
AT1G70710,ATASD1,,
AT5G07830,ATMYB11,,
AT4G20030,MYB11,,
AT4G20740,PFG2,,
AT5G53660,AGC2-4,,
AT2G01340,UCNL,,
AT1G61566,PDF1,,
AT2G27990,PP2AA2,,
AT1G61563,PR 65,,
AT3G02730,KAT1,,
AT3G16940,PKT4,,
AT1G62280,AtELP2,,
AT3G19490,ELP2,,
AT3G16760,FAB1C,,
AT2G42750,AT-HSFA4C,,
AT5G06920,HSFA4C,,
ATCG00700,RHA1,,
AT3G28900,AtWRKY68,,
AT3G43610,WRKY68,,
AT5G56090,AtTIR1,,
AT1G72710,TIR1,,
AT5G09380,MYC4,,
AT1G15340,ATP8,,
AT3G42640,ORFB,,
AT4G19690,AIF4,,
AT4G01360,MIR777A,,
AT5G18400,AT-CDA1,,
AT5G25510,CDA1,,
AT5G09470,DESZ,,
AT2G19220,ZFP3,,
AT2G31650,ALDH7B4,,
AT2G18290,AtPUB23,,
AT3G26700,PUB23,,
AT1G16130,SKIP6,,
AT1G18620,KCS20,,
AT1G18150,ATCHIA,,
AT4G00180,CHIA,,
AT4G32280,AtIDD11,,
AT4G36440,IDD11,,
AT5G40390,APT3,,
AT5G26820,PPI1,,
AT4G26965,CPC,,
AT5G14070,ATPK3,,
AT1G47530,PK3,,
AT5G45250,FMO GS-OX3,,
AT3G48610,AtNSP5,,
AT5G66790,NSP5,,
AT3G48340,AtPRX71,,
AT3G22490,PRX71,,
AT1G28600,AKIN10,,
AT1G09380,KIN10,,
AT4G31530,KIN10,,
AT3G49560,SNRK1.1,,
AT4G38100,BCS1,,
AT2G23470,ATGSTU18,,
AT1G66550,GST29,,
AT5G24460,GSTU18,,
AT1G65320,SPI,,
AT1G77290,QRT1,,
AT4G16760,ATZIP9,,
AT4G32130,ZIP9,,
AT2G27500,FAC19,,
AT5G23050,PRORP3,,
AT1G52320,ATHB54,,
AT1G55110,HB54,,
AT4G14940,ATK1,,
AT3G55150,KATA,,
AT2G40670,KATAP,,
